Name,Category,Well_Known_Movie,Bio
Arjun Kapoor,Actor,Gunday,"Arjun Kapoor was born on June 26, 1985 in Bombay, Maharashtra, India"
Amrita Puri,Actress,P.O.W. Bandi Yuddh Ke,Amrita Puri is an Indian film actress and model who was born in Mumbai
Abhay Deol,Actor,Zindagi Na Milegi Dobara,"Abhay Deol (born in 1976, India) is an Indian film actor"
Swwapnil Joshi,Actor,Friends,"Swwapnil Joshi was born on October 18, 1977 in Bombay, Maharashtra, India"
Vivek Oberoi,Actor,Company,"Vivek Oberoi was born on the 3rd of September,1976 and attended Mayo college in Ajmer"
Dev Anand,Actor,Kala Bazar,"After having played the Lead Actor for more than five decades in over 110 motion pictures, Dev Anand continues to bestride Indian Cinema today"
Yash Chopra,Producer,Veer-Zaara,"Labeled the eternal romantic and with one of the best musical senses in the business, Yash Chopra is arguably India's most successful director of romantic films"
Rupa Ganguly,Actress,Barfi!,"Rupa Ganguly was born in Kalyani near Kolkata, West Bengal, India"
Riteish Deshmukh,Actor,Ek Villain,"Riteish Deshmukh is an Indian actor, producer and architect who appears in Bollywood films"
Simone Singh,Actress,Kabhi Khushi Kabhie Gham...,"Simone Singh was born on November 10, 1974 in Jamshedpur, Bihar, India"
Nana Patekar,Actor,Krantiveer,"Vishwanath Patekar (born on January 1, 1951 in Murud-Janjira, Maharashtra, India) is an actor, writer and filmmaker"
Dia Mirza,Actress,Sanju,"Dia Mirza was born on 9th December in Hyderabad, Andhra Pradesh"
Deepti Naval,Actress,Lion,"Deepti Naval is an Indian film actor, director, writer, painter and photographer"
Michael Radford,Director,Il postino,"Michael Radford was born on February 24, 1946 in New Delhi, British India"
Vinod Khanna,Actor,Qurbani,"At the start of his career, he played supporting or villainous characters in films such as Purab Aur Paschim, Sachaa Jhutha, Aan Milo Sajna, and Mastana in 1970, and in Mera Gaon Mera Desh, Elaan and Aan Milo Sajna in 1971"
Mukesh Khanna,Actor,Mahabharat,"Mukesh Khanna was born on July 19, 1958 in Bombay, State of Bombay, India"
Jeetendra,Actor,Kalyug Ke Avtaar,Ravi Kapoor was born in a business family that dealt with imitation Jewelery and used to live in a chawl
Raj Kapoor,Actor,Mera Naam Joker,"Raj Kapoor was the son of well-known Indian actor Prithviraj Kapoor, who acted both in film and on stage"
Sujoy Ghosh,Writer,Kahaani,"Born on 21st May 1966 in Kolkata, Sujoy Ghosh is an Indian film writer, director, actor and producer who is well known for his critically acclaimed movies like Jhankar Beats,"
Saeed Jaffrey,Actor,The Man Who Would Be King,"Saeed Jaffrey was born in Maler Kotla, Punjab, India"
Sharman Joshi,Actor,3 Idiots,"Sharman Joshi was born on April 28, 1979 in Bombay, Maharashtra, India"
Aditya Chopra,Producer,Mohabbatein,"The elder son of veteran filmmaker, Yash Chopra & Pamela Chopra, Aditya was born in the year 1971"
Rimi Sen,Actress,Baghban,Rimi Sen is an Indian actress who appears in Bollywood films
Bobby Deol,Actor,Barsaat,Bobby Deol (Vijay Singh Deol) is the second son of Bollywood mega-star Dharmendra
Ronit Roy,Actor,Udaan,"Ronit Roy was born on October 11, 1965 in Nagpur, Maharashtra, India as Ronit Bose Roy"
Divya Dutta,Actress,Bhaag milkha bhaag,Divya Dutta is an Indian Actress from Ludhiana (Punjab) who has acted in various Hindi and Punjabi movies
Ashwini Bhave,Actress,Bandhan,Ashwini was born in the Marathi-speaking family Bhave family on May 7th
Sanjeev Kumar,Actor,Sholay,Harihar Jariwala a
Rana Daggubati,Actor,Bãhubali: The Beginning,"Actor, producer and entrepreneur, Rana Daggubati enjoys a very unique fandom from across the world"
Ashutosh Rana,Actor,Dushman,"Ashutosh Rana born in Gadarwara, Madhya Pradesh is an Indian actor working in the Hindi Film and Telugu Film industry"
Divya Bharti,Actress,Assembly Rowdy,"Divya was born on February 25, 1974 to Meeta and Om Prakash Bharti"
Jennifer Winget,Actress,Beyhadh,"Jennifer Winget was born on May 30, 1985 in India"
Priya Anand,Actress,English Vinglish,Priya Anand is an Indian film actress and model
Ranvir Shorey,Actor,Ek Tha Tiger,Ranvir comes from a family of movie professionals
Osho,Self,Fear Is the Master,"Osho was born on December 11, 1931 in Kuchwada Village, Bareli Tehsil, Raisen District, Bhopal State, British India as Chandra Mohan Jain"
Prakash Raj,Actor,Anniyan,"Prakash Raj was born on March 26, 1965 in Bangalore, Mysore State, India as Prakash Rai"
Gul Panag,Actress,Dor,"Gul Panag was born on January 3, 1977 in Chandigarh, Punjab, India"
Anna Kashfi,Actress,The Mountain,Anna Kashfi has appeared in a number of films including
June Thorburn,Actress,The Pickwick Papers,"June Thorburn was born on June 8, 1931 in Karachi, India"
Saroo Brierley,Writer,Lion,Saroo Brierley (born 1981) is an Indian-born Australian businessman who was separated from his birth mother and found her after a separation of 25 years
Mona Singh,Actress,3 Idiots,"Mona Singh was born on October 8, 1981 in Chandigarh, India"
Neetu Chandra,Actress,13B: Fear Has a New Address,Neetu Chandra is the most talented and beautiful face of Indian cinema
Johnny Lever,Actor,Kuch Kuch Hota Hai,"Johnny Lever, born in Andhra Pradesh and was brought up in Mumbai's King's Circle area (Dharavi)"
Ann Firbank,Actress,Star Wars: Episode IX - The Rise of Skywalker,"Ann Firbank was born on January 9, 1933 in Secunderabad, Hyderabad State, British India"
Michael Craig,Actor,G.P.,"A veritable everyman of stage and screen, both big and small, but relatively unfamiliar to American audiences, Michael Craig is of Scots heritage, born in India to a father on military assignment"
Richard Clifford,Actor,Much Ado About Nothing,"Richard Clifford was born on June 11, 1955 in India as William Henry Richard Clifford"
Amjad Khan,Actor,Sholay,"Amjad Khan was born on November 12, 1940 in Hyderabad, Hyderabad State, British India"
Konkona Sen Sharma,Actress,Omkara,Konkona Sen Sharma is an awarding winning actress and the daughter of the celebrated actress and director Aparna Sen
Ekta Kapoor,Writer,Kumkum Bhagya,"You might want to read her name thrice as I introduce her, but three things still are the most important to her- entertainment, entertainment, and entertainment!Having started as a young girl who began working and produced a television show to only earn extra pocket money to creating content for "
Farida Jalal,Actress,Dilwale Dulhania Le Jayenge,Farida Jalal was discovered by Filmfare's United Producers' Talent Hunt in the 1960s
Bhoomika Chawla,Actress,Tere Naam,"5' 3"" tall, Bhoomika Chawla was born on August 21 in New Delhi"
James Hayter,Actor,Oliver!,"The son of a police superintendent in India, the character actor James Hayter was educated in Scotland, where he was urged into acting by his headmaster"
Shelly Desai,Actor,Escape from L.A.,"Shelly Desai was born on December 3, 1935 in Bombay, Bombay Presidency, British India"
Twinkle Khanna,Actress,Barsaat,"Very few people have the privilege of being born on the same day as their mom or dad, Tina is one of them"
Kumar Pallana,Actor,The Terminal,"Kumar Pallana was born on December 23, 1918 in Indore, Indore State, Central India Agency, British India as Kumar Vallabhdas Pallana"
Rajeev Khandelwal,Actor,Aamir,Rajeev Khandelwal is an Indian film and television actor
Esha Deol,Actress,Koi Mere Dil Se Poochhe,"Fluent in English, Hindi and Tamil, Scorpion Esha was born on November 2, 1982 to Hema 'Dreamgirl' Malini, and Dharmendra 'He-Man' Deol"
Atlee Kumar,Writer,Mersal,Atlee Kumar is an Indian film director and screenwriter in Tamil cinema
Aarti Chhabria,Actress,Awara Paagal Deewana,Aarti Chabria began modeling at 3 years of age
Biju Menon,Actor,Vellimoonga,"Biju Menon was born in Kerala, India"
Vinay Pathak,Actor,Bheja Fry,"Vinay Pathak was born on July 12, 1968 in Bhojpur District, Bihar, India"
Sunkrish Bala,Actor,Castle,"Sunkrish Bala was born on May 21, 1984 in Bombay, India as Sunkrish Balasubramanian"
Meenakshi Sheshadri,Actress,Jurm,Meenakshi Sheshadri (born on November 16th 1963) is an Indian (Bollywood) film actress and dancer who acted in more than 20 Bollywood films during her times
Spike Milligan,Actor,The Bed Sitting Room,"Spike was born an 'Army Brat', the son of an Irish Captain in the British Raj in India"
Brahmanandam,Actor,Dookudu,"Considered as the greatest comedian Telugu film industry ever produced Brahamanandam is a native of Muppala village near Sattenapalli, Brahmanandam completed his M"
Kader Khan,Actor,Taqdeerwala,"Kader Khan was born on December 11, 1937 in Pishin, Balochistan, British India"
T.R. Silambarasan,Actor,Vinnaithaandi Varuvaayaa,"Born to one of Tamil Cinema's most notorious filmmaker, Thesingu Rajender and popularly known as Simbhu, Silambrasan frequently acted in his father's productions"
Rakshit Shetty,Actor,Ulidavaru Kandanthe,"Rakshit Shetty was born on June 6, 1983 in Udupi, Karnataka, India"
Shakti Kapoor,Actor,Andaz Apna Apna,Shakti Kapoor is one of the most comic actors to grace the Bollywood screen
Archana Puran Singh,Actress,Kuch Kuch Hota Hai,"Archana Puran Singh was born on March 26, 1962 in Dehra Dun, Uttar Pradesh, India"
Arvind Swamy,Actor,Thani Oruvan,"Arvind Swami was born in Chennai, India"
Vijay Amritraj,Actor,Octopussy,"For almost two decades, Vijay Amritraj was one of the most famous tennis players in the world, and was the top tennis player in Asia for 14 straight years"
Poonam Dhillon,Actress,Noorie,"Born on April 18, 1962 in Kanpur, India, Cusp-born Poonam Dhillon is one of three children of former Aeronautics Engineer, Amrik Singh, and mom, Gurcharan Kaur"
Kunal Khemu,Actor,Go Goa Gone,"Kunal Khemu was born on May 25, 1983 in Srinagar, Jammu and Kashmir, India"
Gracy Singh,Actress,Lagaan: Once Upon a Time in India,Gracy Singh is a unique combination of star quality and a girl next door appeal
Rushi Kota,Actor,Grey's Anatomy,"Born and raised in Queens, NY"
Lillete Dubey,Actress,The Best Exotic Marigold Hotel,"Lillete Dubey was born on September 7, 1953 in Pune, State of Bombay, India as Lillete Kiswani"
Neelam Kothari,Actress,Hatya,"Neelam Kothari was born on March 3, 1968 in India"
Reema Lagoo,Actress,Kuch Kuch Hota Hai,"Reema Lagoo was born on June 21, 1958 in Bombay, State of Bombay, India as Nayan Bhadbhade"
Nikkhil Advani,Director,Kal ho naa ho,"Nikkhil Advani was born on April 28, 1971 in Mumbai, Maharahstra, India"
Pooja Bhatt,Actress,Zakhm,"Pooja was born on February 24, 1972 in the Gujarati-speaking Bhatt family"
Shammi Kapoor,Actor,Vidhaata,"Shamsher Raj ""Shammi"" Kapoor was the son of theater and film actor Prithviraj Kapoor and his wife Ramsarni ""Rama"" Mehra Kapoor"
Ishita Dutta,Actress,Drishyam,"Ishita Dutta was born on August 26, 1990 in Jamshedpur, Bihar, India"
Hansika Motwani,Actress,Desamuduru,"Hansika was born on August 9, 1991 in the Sindhi speaking Motwani family in Bombay, India"
Kashmira Shah,Actress,Jungle,"A former model and beauty queen (both as Miss University World and Miss India talent winner), Shah has acted on the big screen and on stage for over eight years, fast becoming a household name in India"
Zayed Khan,Actor,Main Hoon Na,Zayed Khan's parents are former Bollywood actor Sanjay Khan and interior designer Zarine Khan
Aneesh Sheth,Actress,Jessica Jones,Ms
Rhea Chakraborty,Actress,Mere Dad Ki Maruti,Rhea Chakraborty is an Indian Bollywood and Telugu film actress and a Video Jockey on MTV India
Jeet,Actor,Sultan: The Saviour,"Jeet (Jeetendra Madnani) is an Indian Actor , Producer, Writer and Television presenter who predominantly works in the Bengali film industry "
Pran,Actor,Zanjeer,Pran was one of the leading character actors of Indian cinema
Amrita Singh,Actress,Badla,"Aquarian Amrita was born on February 9, 1958"
Richard Gregson,Writer,The Angry Silence,"Richard Gregson was born on May 5, 1930 in India"
Paoli Dam,Actress,Hate Story,"Paoli Dam was born on October 4, 1980 in Calcutta, West Bengal, India"
Gulshan Grover,Actor,Badman,"Gulshan Grover was born, raised and educated in Delhi, India"
Neil Nitin Mukesh,Actor,Johnny Gaddaar,"He had a normal childhood, like most other children"
Chunky Pandey,Actor,Don,"Chunky Pandey was born in Bombay, India on September 26, 1962 in a non-film household"
Rakesh Roshan,Actor,Koi... Mil Gaya,"Rakesh Roshan was born on September 6, 1949 in Bombay, State of Bombay, India as Rakesh Roshanlal Nagrath"
Parmeet Sethi,Actor,Dilwale Dulhania Le Jayenge,"Parmeet Sethi was born on October 14, 1961 in Punjab, India"
Dileep,Actor,Kunjikkoonan,"Dileep was born on October 27, 1968 in Ernakulam, Kerala, India as Dileep Gopalakrishnan"
Uday Chopra,Actor,Dhoom:2,"Uday Chopra is a Bollywood actor, producer, and assistant director"
Rajat Kapoor,Director,Raghu Romeo,"Rajat Kapoor was born on February 11, 1961 in New Delhi, India"
Guru Dutt,Actor,Sahib Bibi Aur Ghulam,"Considered to be a man ahead of his time, Guru Dutt was one of the greatest icons of commercial Indian cinema"
Pooja Sharma,Actress,Mahabharat,"Pooja Sharma was born on July 12, 1989 in Delhi, India"
Kunchacko Boban,Actor,3 Dots,"Kunchacko Boban was born in Alappuzha, Kerala, India"
Atul Kulkarni,Actor,Rang De Basanti,"Atul Kulkarni was born on September 10, 1965 in Karnataka, India"
Parambrata Chattopadhyay,Actor,Kahaani,"Parambrata Chattopadhyay was born on June 27, 1980 in Calcutta, West Bengal, India"
Hrishikesh Mukherjee,Director,Anand,"By no means is he any glamorous director, yet Hrishikesh Mukherjee is one of the most popular and beloved filmmakers in Indian cinema"
Rajpal Yadav,Actor,Kal ho naa ho,"Rajpal Yadav was born on March 16, 1971 in Shahjahanpur, Uttar Pradesh, India"
Amol Palekar,Director,Kairee,"Amol Palekar was born on November 24, 1944 in Bombay, Bombay Presidency, British India"
Prachi Desai,Actress,Once Upon a Time in Mumbaai,She is best known for her role as Bani Walia in the Hindi television drama Kasamh Se (2006) which aired on Zee TV
Chriselle Almeida,Actress,The Big Bang Theory,"Chriselle Almeida was born on December 1, 1980 in Mumbai, India"
Pooja Batra,Actress,Squad,Pooja Batra was born in India to an army officer and his wife
Vikram Bhatt,Director,Raaz,"Vikram Bhatt was born on January 27, 1969 in Bombay, Maharashtra, India"
Gauri Khan,Producer,Chennai Express,Gauri Khan is an Indian film producer and an interior designer
Farah Khan,Actress,Om Shanti Om,"Farah Khan was born on January 9, 1965 in Bombay, Maharashtra, India"
Gayatri Joshi,Actress,"Swades: We, the People","Gayatri was born in the Marathi-speaking Joshi family on March 20, 1977 In Nagpur, Maharashtra, India"
Deepa Mehta,Director,Fire,"Deepa Mehta is a transnational artist and a screenwriter, director, and producer whose work has been called ""courageous"", ""provocative"" and ""breathtaking"""
Ma Anand Sheela,Self,"Guru: Bhagwan, His Secretary & His Bodyguard","Ma Anand Sheela was born on December 28, 1949 in Baroda, Gujarat, India as Ambalala Patel Sheela"
Mahesh Manjrekar,Actor,Slumdog Millionaire,"Mahesh Manjrekar was born on May 13, 1953 in Bombay, State of Bombay, India"
Asrani,Actor,Sholay,Asrani was born in a middle class Sindhi family
Amala Paul,Actress,Aadai,"Amala Paul is an Indian film actress, who works primarily in the Tamil film industry"
Raaj Kumar,Actor,Kaajal,"Raaj Kumar was born on October 8, 1926 in Loralai, Baluchistan, British India as Kulbhushan Pandit"
Inaamulhaq,Actor,Filmistaan,"An alumnus of National School of Drama, Inaamulhaq was born on Nov 14, 1979 in Saharanpur-Uttar Pradesh"
Mahesh Bhatt,Producer,Raaz,"Mahesh Bhatt was born on September 20, 1948 in Bombay, State of Bombay, India"
Pankaj Kapur,Actor,Maqbool,"Pankaj Kapur the acclaimed film, television and stage actor signified the young crop of great actors of which Om Puri, Naseeruddin Shah and Ifran Khan formed a part"
Upendra,Actor,Upendra,Actor |
Sunil Dutt,Actor,Mujhe Jeene Do,"Actor, social activist and politician"
Aftab Shivdasani,Actor,Masti,"Aftab Shivdasani was born on June 25, 1978 in Bombay, Maharashtra, India"
Manju Warrier,Actress,How Old Are You?,"Manju Warrier was born on September 10, 1979 in Nagercoil, Tamil Nadu, India"
